image_path,umap_x,umap_y
data/image_compressed_leomessi/3028870455138693327_427553890_small.jpeg,13.061907,6.9704204
data/image_compressed_leomessi/3109889498909304077_427553890_small.jpeg,11.203796,5.462376
data/image_compressed_leomessi/3065587581610172914_427553890_small.jpeg,12.285664,7.8386865
data/image_compressed_leomessi/2601834634047090348_427553890_small.jpeg,7.540142,2.5629299
data/image_compressed_leomessi/2225132995412106995_427553890_small.jpeg,11.8991375,5.9566956
data/image_compressed_leomessi/2717064915116539564_427553890_small.jpeg,13.324211,6.655357
data/image_compressed_leomessi/3045459076691379874_427553890_small.jpeg,13.054783,4.8199654
data/image_compressed_leomessi/2752607123999339886_427553890_small.jpeg,7.192409,3.3971155
data/image_compressed_leomessi/2263409073916124965_427553890_small.jpeg,7.43099,3.4590256
data/image_compressed_leomessi/3065587581593439029_427553890_small.jpeg,9.96328,4.685231
data/image_compressed_leomessi/2723701551036162375_427553890_small.jpeg,12.847117,6.1717553
data/image_compressed_leomessi/3241403624116695723_427553890_small.jpeg,12.387019,6.3922358
data/image_compressed_leomessi/2992626731110873863_427553890_small.jpeg,9.294661,5.473301
data/image_compressed_leomessi/2802482943496457546_427553890_small.jpeg,12.060657,4.4306684
data/image_compressed_leomessi/2997366346808338868_427553890_small.jpeg,7.418375,4.650975
data/image_compressed_leomessi/2918437322035915369_427553890_small.jpeg,11.293364,3.9711757
data/image_compressed_leomessi/2524389045502965672_427553890_small.jpeg,7.6149015,2.390665
data/image_compressed_leomessi/2320604416698812575_427553890_small.jpeg,7.2366924,3.7327945
data/image_compressed_leomessi/2972960862537357995_427553890_small.jpeg,12.281404,4.296624
data/image_compressed_leomessi/2467005457514223302_427553890_small.jpeg,7.7397614,2.4650185
data/image_compressed_leomessi/2314780828987178500_427553890_small.jpeg,7.386683,3.400353
data/image_compressed_leomessi/3260544074158427175_427553890_small.jpeg,12.074591,4.072689
data/image_compressed_leomessi/2599557042879221759_427553890_small.jpeg,11.412889,6.4295964
data/image_compressed_leomessi/2972124405141150847_427553890_small.jpeg,8.270883,2.746045
data/image_compressed_leomessi/2998426808861599856_427553890_small.jpeg,10.179692,4.882124
data/image_compressed_leomessi/3216051320867309143_427553890_small.jpeg,11.982483,6.404176
data/image_compressed_leomessi/2919406245527071013_427553890_small.jpeg,12.44841,7.446149
data/image_compressed_leomessi/2688238086318724180_427553890_small.jpeg,11.713517,7.3389635
data/image_compressed_leomessi/2750420149083369832_427553890_small.jpeg,7.8489285,4.8416862
data/image_compressed_leomessi/2677747889550290461_427553890_small.jpeg,8.022427,5.8409157
data/image_compressed_leomessi/3082387621183499616_427553890_small.jpeg,10.935135,5.2721615
data/image_compressed_leomessi/2424388090410044913_427553890_small.jpeg,10.474106,5.632201
data/image_compressed_leomessi/2340074574962220328_427553890_small.jpeg,9.63695,3.8728817
data/image_compressed_leomessi/2251949294133723801_427553890_small.jpeg,11.395337,5.7811923
data/image_compressed_leomessi/2330600058066152492_427553890_small.jpeg,8.555651,5.8348866
data/image_compressed_leomessi/2240333604214005249_427553890_small.jpeg,11.509169,8.130402
data/image_compressed_leomessi/2464196613083832838_427553890_small.jpeg,7.764631,3.7870958
