image_path,pca_x,pca_y,tsne_x,tsne_y,umap_x,umap_y,age,normalized_age,kmeans_label
data/image_compressed_taylorswift/1587848901637875648_11830955_small.jpeg,40.121952,-9.5519905,17.821974,-28.482456,1.3251766,7.890894,901,1.0,2
data/image_compressed_taylorswift/1587848984341073725_11830955_small.jpeg,11.347833,12.570856,20.581615,-7.6322894,5.421183,7.6291575,900,0.9988888888888889,6
data/image_compressed_taylorswift/1587849131544284872_11830955_small.jpeg,37.802902,-6.794191,18.40079,-27.500345,1.334717,7.9047823,899,0.9977777777777778,2
data/image_compressed_taylorswift/1588903145283506280_11830955_small.jpeg,34.387203,-5.2987103,17.770847,-27.000639,1.3285226,7.862458,898,0.9966666666666667,2
data/image_compressed_taylorswift/1589154148473812137_11830955_small.jpeg,13.72129,1.1901381,20.71492,-19.838877,4.710255,6.6772065,897,0.9955555555555555,6
data/image_compressed_taylorswift/1589155199423748838_11830955_small.jpeg,16.212286,3.1781116,21.146496,-18.815273,4.8763514,6.5757637,896,0.9944444444444445,6
data/image_compressed_taylorswift/1629141591390092996_11830955_small.jpeg,38.619682,-5.2867746,18.800787,-28.213976,1.2277778,7.9595013,895,0.9933333333333333,2
data/image_compressed_taylorswift/1629141747250424308_11830955_small.jpeg,37.370148,-4.173582,18.8219,-28.079258,1.1905277,8.056386,894,0.9922222222222222,2
data/image_compressed_taylorswift/1634577912120070670_11830955_small.jpeg,21.236307,-4.0592756,12.17015,-13.83806,6.3330965,7.088003,893,0.9911111111111112,6
data/image_compressed_taylorswift/1634578150868343975_11830955_small.jpeg,13.839981,-12.662409,-10.929729,-9.0109005,8.945307,6.9855237,892,0.99,7
data/image_compressed_taylorswift/1634578330325666385_11830955_small.jpeg,24.028486,0.16947094,12.437552,-13.869305,6.148643,7.07176,891,0.9888888888888889,6
data/image_compressed_taylorswift/1638535038815323008_11830955_small.jpeg,-8.417456,9.106916,19.04526,10.403389,6.720021,8.91195,890,0.9877777777777778,1
data/image_compressed_taylorswift/1638535325219160108_11830955_small.jpeg,-3.0902321,4.814385,-6.1146784,16.713602,9.420417,9.893473,889,0.9866666666666667,5
data/image_compressed_taylorswift/1638535644447730895_11830955_small.jpeg,-10.664752,12.710236,17.419306,11.025641,6.6375403,9.041106,888,0.9855555555555555,1
data/image_compressed_taylorswift/1639181969002510458_11830955_small.jpeg,34.32566,4.088993,18.064629,-35.243362,0.54387385,8.21806,887,0.9844444444444445,2
data/image_compressed_taylorswift/1639182087105607174_11830955_small.jpeg,32.095592,9.059547,18.065443,-35.278694,0.55667055,8.272621,886,0.9833333333333333,2
data/image_compressed_taylorswift/1639182221558378437_11830955_small.jpeg,34.10993,5.968049,18.05816,-35.266327,0.5534583,8.284903,885,0.9822222222222222,2
data/image_compressed_taylorswift/1643028344999965252_11830955_small.jpeg,1.6598036,2.893446,5.139848,12.9460535,8.737487,9.120028,884,0.9811111111111112,5
data/image_compressed_taylorswift/1643029649235591163_11830955_small.jpeg,-4.122203,5.7320423,5.260905,12.238745,8.65887,9.029651,883,0.98,5
data/image_compressed_taylorswift/1643240682705340136_11830955_small.jpeg,-0.761537,25.332851,21.533697,-9.178156,5.299956,7.5694003,882,0.9788888888888889,6
data/image_compressed_taylorswift/1643241217386841232_11830955_small.jpeg,11.150067,12.756364,20.598757,-7.631587,5.4648485,7.629664,881,0.9777777777777777,6
data/image_compressed_taylorswift/1643906740906692607_11830955_small.jpeg,10.232052,16.635147,14.169197,-22.02439,5.9528522,7.2366858,880,0.9766666666666667,6
data/image_compressed_taylorswift/1643906978203758163_11830955_small.jpeg,-19.627968,18.581512,13.438251,21.698221,8.419572,8.342428,879,0.9755555555555555,5
data/image_compressed_taylorswift/1643907208269741991_11830955_small.jpeg,7.22626,9.932888,14.167018,-22.017702,6.1010857,7.178528,878,0.9744444444444444,6
data/image_compressed_taylorswift/1644467318763135384_11830955_small.jpeg,-2.7557626,18.554588,30.877083,-3.8100529,7.3323946,6.105437,877,0.9733333333333334,7
data/image_compressed_taylorswift/1644467406868708724_11830955_small.jpeg,36.40394,-7.9326234,17.516745,-27.757597,1.3554053,7.9146237,876,0.9722222222222222,2
data/image_compressed_taylorswift/1644467706987887441_11830955_small.jpeg,-3.5968726,24.645428,34.07165,1.0671722,3.9140341,4.0926948,875,0.9711111111111111,4
data/image_compressed_taylorswift/1644735861232707720_11830955_small.jpeg,37.925766,-8.76474,17.643131,-28.134825,1.3944396,7.840228,874,0.97,2
data/image_compressed_taylorswift/1644736135129102150_11830955_small.jpeg,1.6072754,-2.0167115,-5.2983623,-5.668745,8.732531,7.1855364,873,0.9688888888888889,7
data/image_compressed_taylorswift/1644736596577958444_11830955_small.jpeg,36.194817,-7.6788683,17.487846,-27.688019,1.4636812,7.973885,872,0.9677777777777777,2
data/image_compressed_taylorswift/1644840948286286451_11830955_small.jpeg,34.823288,-0.98415667,22.094976,-31.147882,0.41099843,8.826665,871,0.9666666666666667,2
data/image_compressed_taylorswift/1644841099935543100_11830955_small.jpeg,24.90186,4.229013,24.766426,-32.137474,0.071397044,9.095164,870,0.9655555555555555,2
data/image_compressed_taylorswift/1644841481709334707_11830955_small.jpeg,30.668419,1.776514,23.141657,-32.237118,0.17071328,8.993449,869,0.9644444444444444,2
data/image_compressed_taylorswift/1644841699737809927_11830955_small.jpeg,26.66362,4.8224263,24.75403,-31.680315,0.07595698,9.088189,868,0.9633333333333334,2
data/image_compressed_taylorswift/1644841847586945480_11830955_small.jpeg,33.257736,-1.1387691,22.831621,-29.822632,0.16649029,8.839662,867,0.9622222222222222,2
data/image_compressed_taylorswift/1644842008044318763_11830955_small.jpeg,31.135767,2.57823,23.961784,-31.526756,0.074920386,9.104486,866,0.9611111111111111,2
data/image_compressed_taylorswift/1645181416551340031_11830955_small.jpeg,33.499504,-1.3359357,22.620611,-30.233173,0.19826202,8.853245,865,0.96,2
